fhfa_cbsa,period,hpi_all_transactions_nsa
10180,1986Q2,108.1
10180,1986Q3,108.32
10180,1986Q4,94.78
10180,1987Q1,101.65
10180,1987Q2,100.93
10180,1987Q3,95.2
10180,1987Q4,94.11
10180,1988Q1,82.75
10180,1988Q2,87.72
10180,1988Q3,82.96
10180,1988Q4,84.91
10180,1989Q1,88.8
10180,1989Q2,80.94
10180,1989Q3,84.24
10180,1989Q4,76.42
10180,1990Q1,81.59
10180,1990Q2,79.84
10180,1990Q3,79.62
10180,1990Q4,82.68
10180,1991Q1,83.69
10180,1991Q2,87.83
10180,1991Q3,88.39
10180,1991Q4,83.73
10180,1992Q1,93.32
10180,1992Q2,90.95
10180,1992Q3,92.01
10180,1992Q4,92.66
10180,1993Q1,94.7
10180,1993Q2,97.52
10180,1993Q3,96.92
10180,1993Q4,99.48
10180,1994Q1,98.14
10180,1994Q2,100.32
10180,1994Q3,99.21
10180,1994Q4,97
10180,1995Q1,100
10180,1995Q2,101.93
10180,1995Q3,100.69
10180,1995Q4,102.39
10180,1996Q1,105.42
10180,1996Q2,106.52
10180,1996Q3,105.54
10180,1996Q4,105.69
10180,1997Q1,105.54
10180,1997Q2,105.59
10180,1997Q3,108.71
10180,1997Q4,109.52
10180,1998Q1,109.73
10180,1998Q2,108.18
10180,1998Q3,110.93
10180,1998Q4,112.17
10180,1999Q1,112.52
10180,1999Q2,113.85
10180,1999Q3,114.98
10180,1999Q4,115.91
10180,2000Q1,114.48
10180,2000Q2,114.09
10180,2000Q3,115.67
10180,2000Q4,118.61
10180,2001Q1,118.74
10180,2001Q2,120.25
10180,2001Q3,119.09
10180,2001Q4,123.57
10180,2002Q1,122.91
10180,2002Q2,121.85
10180,2002Q3,123.54
10180,2002Q4,127.18
10180,2003Q1,126.5
10180,2003Q2,127.4
10180,2003Q3,128.06
10180,2003Q4,126.47
10180,2004Q1,130.37
10180,2004Q2,132.26
10180,2004Q3,133.61
10180,2004Q4,134.9
10180,2005Q1,137.43
10180,2005Q2,142.32
10180,2005Q3,142.89
10180,2005Q4,145.24
10180,2006Q1,150.91
10180,2006Q2,151.54
10180,2006Q3,155.54
10180,2006Q4,157.78
10180,2007Q1,162.44
10180,2007Q2,164.07
10180,2007Q3,163.15
10180,2007Q4,163.66
10180,2008Q1,165.6
10180,2008Q2,165
10180,2008Q3,166.18
10180,2008Q4,169.48
10180,2009Q1,170.53
10180,2009Q2,169.93
10180,2009Q3,170.31
10180,2009Q4,170.17
10180,2010Q1,170.9
10180,2010Q2,169.24
10180,2010Q3,171.22
10180,2010Q4,170.24
10180,2011Q1,168.63
10180,2011Q2,167.59
10180,2011Q3,169.48
10180,2011Q4,167.76
10180,2012Q1,168.73
10180,2012Q2,170.5
10180,2012Q3,174.26
10180,2012Q4,171.05
10180,2013Q1,173.42
10180,2013Q2,174.16
10180,2013Q3,178.86
10180,2013Q4,182.63
10180,2014Q1,183.16
10180,2014Q2,186
10180,2014Q3,188.66
10180,2014Q4,189.83
10180,2015Q1,185.5
10180,2015Q2,190.85
10180,2015Q3,194.34
10180,2015Q4,196.18
10180,2016Q1,196.51
10180,2016Q2,198.66
10180,2016Q3,202.01
10180,2016Q4,205.31
10180,2017Q1,200.95
10180,2017Q2,208.04
10180,2017Q3,211.97
10180,2017Q4,209.82
10180,2018Q1,210.11
10180,2018Q2,220.62
10180,2018Q3,217.64
10180,2018Q4,224.86
10180,2019Q1,219.74
10180,2019Q2,225.7
10180,2019Q3,227.84
10180,2019Q4,230.21
10180,2020Q1,230.75
10180,2020Q2,233.33
10180,2020Q3,238.21
10180,2020Q4,241.63
10180,2021Q1,242.93
10180,2021Q2,260.95
10180,2021Q3,274.22
10180,2021Q4,287.36
10180,2022Q1,290.04
10180,2022Q2,306.26
10180,2022Q3,307.73
10180,2022Q4,298.18
10180,2023Q1,314.64
10180,2023Q2,320.11
10180,2023Q3,325.77
10180,2023Q4,341.28
10180,2024Q1,324.77
10180,2024Q2,339.88
10180,2024Q3,329.12
10180,2024Q4,351.46
10180,2025Q1,338.4
10180,2025Q2,349.03
10180,2025Q3,344.25
10180,2025Q4,365.24
10180,2026Q1,357.55
10420,1976Q3,40.23
10420,1976Q4,38.98
10420,1977Q1,40.48
10420,1977Q2,42.42
10420,1977Q3,44.16
10420,1977Q4,44.8
10420,1978Q1,48.29
10420,1978Q2,49.43
10420,1978Q3,49
10420,1978Q4,53.06
10420,1979Q1,53.61
10420,1979Q2,55.89
10420,1979Q3,56.22
10420,1979Q4,55.78
10420,1980Q1,55.81
10420,1980Q2,56.9
10420,1980Q3,56.24
10420,1980Q4,57.1
10420,1981Q1,56.46
10420,1981Q2,56.61
10420,1981Q3,56.71
10420,1981Q4,54.53
10420,1982Q1,48.24
10420,1982Q2,53.06
10420,1982Q3,52.15
10420,1982Q4,55.59
10420,1983Q1,56.7
10420,1983Q2,58.16
10420,1983Q3,57.89
10420,1983Q4,56.63
10420,1984Q1,56.89
10420,1984Q2,57.83
10420,1984Q3,56.84
10420,1984Q4,57.47
10420,1985Q1,58.62
10420,1985Q2,59.04
10420,1985Q3,59.47
10420,1985Q4,59.88
10420,1986Q1,61.45
10420,1986Q2,61.83
10420,1986Q3,63.34
10420,1986Q4,63.9
10420,1987Q1,65.06
10420,1987Q2,66.93
10420,1987Q3,67.79
10420,1987Q4,68.01
10420,1988Q1,69.8
10420,1988Q2,70.6
10420,1988Q3,71.14
10420,1988Q4,71.82
10420,1989Q1,71.8
10420,1989Q2,73.84
10420,1989Q3,77.02
10420,1989Q4,76.82
10420,1990Q1,79.23
10420,1990Q2,78.51
10420,1990Q3,80.63
10420,1990Q4,80.68
10420,1991Q1,81.95
10420,1991Q2,83.05
10420,1991Q3,84.03
10420,1991Q4,84.87
10420,1992Q1,86.9
10420,1992Q2,87.33
10420,1992Q3,89.09
10420,1992Q4,90.11
10420,1993Q1,91.04
10420,1993Q2,91.98
10420,1993Q3,93.76
10420,1993Q4,95.32
10420,1994Q1,95.63
10420,1994Q2,96.72
10420,1994Q3,98.59
10420,1994Q4,98.52
10420,1995Q1,100
10420,1995Q2,101.46
10420,1995Q3,103.32
10420,1995Q4,104.62
10420,1996Q1,107.08
